"Country","n","latitude","longitude"
"Argentina",2,-38.416097,-63.616672
"Australia",38,-25.274398,133.775136
"Austria",9,47.516231,14.550072
"Bahrain",1,25.930414,50.637772
"Belgium",10,50.503887,4.469936
"Bermuda",4,32.321384,-64.75737
"Brazil",20,-14.235004,-51.92528
"Canada",56,56.130366,-106.346771
"Chile",8,-35.675147,-71.542969
"China",251,35.86166,104.195397
"Colombia",6,4.570868,-74.297333
"Czech Republic",1,49.817492,15.472962
"Denmark",13,56.26392,9.501785
"Egypt",1,26.820553,30.802498
"Finland",9,61.92411,25.748151
"France",57,46.227638,2.213749
"Germany",53,51.165691,10.451526
"Greece",4,39.074208,21.824312
"Hong Kong",58,22.396428,114.109497
"Hungary",2,47.162494,19.503304
"India",57,20.593684,78.96288
"Indonesia",6,-0.789275,113.921327
"Ireland",18,53.41291,-8.24389
"Israel",9,31.046051,34.851612
"Italy",27,41.87194,12.56738
"Japan",223,36.204824,138.252924
"Jordan",1,30.585164,36.238414
"Kazakhstan",1,48.019573,66.923684
"Kenya",1,-0.023559,37.906193
"Kuwait",4,29.31166,47.481766
"Lebanon",2,33.854721,35.862285
"Luxembourg",7,49.815273,6.129583
"Malaysia",9,4.210484,101.975766
"Mexico",13,23.634501,-102.552784
"Monaco",1,43.750298,7.412841
"Morocco",3,31.791702,-7.09262
"Netherlands",25,52.132633,5.291266
"Nigeria",2,9.081999,8.675277
"Norway",8,60.472024,8.468946
"Oman",1,21.512583,55.923255
"Peru",2,-9.189967,-75.015152
"Philippines",6,12.879721,121.774017
"Poland",7,51.919438,19.145136
"Portugal",4,39.399872,-8.224454
"Qatar",6,25.354826,51.183884
"Russia",22,61.52401,105.318756
"Saudi Arabia",15,23.885942,45.079162
"Singapore",13,1.352083,103.819836
"South Africa",12,-30.559482,22.937506
"South Korea",62,35.907757,127.766922
"Spain",22,40.463667,-3.74922
"Sweden",26,60.128161,18.643501
"Switzerland",41,46.818188,8.227512
"Taiwan",47,23.69781,120.960515
"Thailand",15,15.870032,100.992541
"Turkey",9,38.963745,35.243322
"United Arab Emirates",9,23.424076,53.847818
"United Kingdom",82,55.378051,-3.435973
"United States",575,37.09024,-95.712891
"Vietnam",4,14.058324,108.277199
